configuration,split_seed,validation_seed,model_seed,xgb_weight,lgbm_weight,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,brier_score,tn,fp,fn,tp,partition_index
Cell_A_primary_50_50_without_attendance_decay,122,123,43,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9823053589484327,0.9376194200909842,0.04623139493191928,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,44,0.5,0.5,0.926605504587156,0.8260869565217391,0.8260869565217391,0.8897876643073812,0.9812942366026289,0.9349809957134293,0.04939394069641768,82,4,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,45,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9812942366026289,0.9349809957134293,0.04737883475722086,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,46,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9828109201213348,0.9379299790971953,0.047661877214023804,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,47,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9838220424671386,0.9409049173193285,0.04457297982877857,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,48,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9833164812942365,0.9397269348819757,0.04847038186068168,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,49,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9823053589484327,0.9376194200909842,0.045940490135929525,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,50,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9833164812942365,0.9398968528031995,0.045714762981229014,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,122,123,51,0.5,0.5,0.9357798165137615,0.8636363636363636,0.8260869565217391,0.9019910083493898,0.9823053589484327,0.9376194200909842,0.04652079348787602,83,3,4,19,8
Cell_A_primary_50_50_without_attendance_decay,132,133,42,0.5,0.5,0.9611650485436893,0.95,0.8636363636363636,0.9401858304297328,0.9870931537598204,0.963361787733797,0.03476922304342673,80,1,3,19,9
